Município,Código,Gentílico,Prefeito [2017],Área Territorial - km2 [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km2 [2010],Escolarização 6 a 14 anos % [2010],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (X1000) [2017],Despesas empenhadas - R$ (X1000) [2017],PIB per capita - R$ [2018],
Abaiara,2300101,abaiarense,AFONSO TAVARES LEITE,180.833,11965,58.69,96.7,0.628,6.85,29043.96353,26827.90366,7360.50,
Acarape,2300150,acarapense,FRANCISCO EDILBERTO BESERRA BARROSO,130.002,15140,98.52,96.8,0.606,18.6,38762.5354,36800.46805,8075.56,
Acaraú,2300200,acarauense,ANA FLÁVIA RIBEIRO MONTEIRO,842.471,63556,68.31,96.8,0.601,14.88,132656.38793,109899.29715,8932.85,
Acopiara,2300309,acopiarense,ANTÔNIO ALMEIDA NETO,2254.279,54687,22.58,97.2,0.595,6.63,153148.70946,125356.16693,7038.21,
Aiuaba,2300408,aiuabense,RAMILSON ARAUJO MORAES,2438.563,17584,6.66,97.5,0.569,11.43,37794.63071,33776.93227,6424.51,
Alcântaras,2300507,alcantarense,JOAQUIM FREIRE CARVALHO,135.760,11846,77.71,97.7,0.600,6.76,28047.7779,28990.81921,6506.65,
Altaneira,2300606,altaneirense,FRANCISCO DARIOMAR RODRIGUES SOARES,72.675,7712,93.54,95.7,0.602,-,31688.0261,24034.7098,6606.64,
Alto Santo,2300705,alto-santense,JOSE JOENI HOLANDA DE ARAUJO,1345.701,16077,12.22,96.5,0.601,5.62,40704.75209,35934.2694,8908.98,
Amontada,2300754,amontadense,FLAVIO CESAR BRUNO TEIXEIRA FILHO,1175.044,44195,33.27,97,0.606,8.58,104596.02325,100940.29595,10090.68,
Antonina do Norte,2300804,antonino ou antoninense,ANTONIO ROSENO FILHO,259.706,7402,26.85,95.7,0.599,9.71,21091.60042,19508.59033,7290.20,
Apuiarés,2300903,apuiareense,IRIS MARIA CRUZ DE LIMA,543.980,14742,25.54,98.6,0.618,11.11,43151.1677,36822.04468,6805.10,
Aquiraz,2301000,aquirazense,BRUNO BARROS GONÇALVES,480.236,81581,150.50,96.5,0.641,8.41,244006.6155,197501.39598,24630.33,
Aracati,2301109,aracatiense,BISMARCK COSTA LIMA PINHEIRO MAIA,1227.197,75392,56.32,98.5,0.655,1.96,227561.34007,185621.26216,15210.71,
Aracoiaba,2301208,aracoiabense,THIAGO CAMPELO NOGUEIRA,643.988,26600,38.67,96.5,0.615,8,66969.90402,70353.85927,7457.75,
Ararendá,2301257,ararendaense,ALEXANDRE FELIX DUTRA,342.301,10983,30.49,98.9,0.590,40.27,30233.21546,28244.06253,7162.31,
Araripe,2301307,araripense,CICERO FERREIRA DA SILVA,1097.339,21707,18.81,96.3,0.564,10.93,69217.32083,59671.85451,6724.70,
Aratuba,2301406,aratubano,JOERLY RODRIGUES VICTOR,119.758,11759,100.44,97,0.622,28.41,49123.73328,31633.95958,11444.89,
Arneiroz,2301505,arneirozense,ANTÔNIO MONTEIRO PEDROSA FILHO,1068.437,7848,7.17,97.6,0.618,26.32,11.50649,20466.42208,6907.11,
Assaré,2301604,assareense,JOSE LIBORIO LEITE NETO,1155.124,23537,20.11,96.6,0.600,3.36,52234.57079,42903.24791,6947.09,
Aurora,2301703,aurorense,MARCONE TAVARES DE LUNA,885.870,24567,27.73,97.9,0.605,3.12,52517.28398,46765.06558,7511.26,
Baixio,2301802,baixiense,JOSÉ HUMBERTO MOURA RAMALHO,145.556,6318,41.15,97.9,0.627,14.93,23630.68618,21367.08949,9141.29,
Banabuiú,2301851,banabuiense,FRANCISCO HERMES NOBRE,1080.986,18313,16.03,98,0.606,26.52,46068.89785,42192.55666,8874.99,
Barbalha,2301901,barbalhense,GUILHERME SAMPAIO SARAIVA,608.158,61662,97.14,98.3,0.683,15.08,243774.85895,227251.72162,14320.84,
Barreira,2301950,barreirense,ANTONIO ALAILSON OLIVEIRA SALDANHA,260.003,22715,79.63,97.8,0.616,18.13,49562.61395,44585.4676,6958.94,
Barro,2302008,barrense,JOSÉ MARQUINÉLIO TAVARES,711.346,22834,30.22,97.1,0.599,21.46,41340.96125,39319.66277,7674.21,
Barroquinha,2302057,barroquinhense,JAIME VERAS SILVA FILHO,385.583,15069,37.76,97.9,0.571,18.26,39700.27383,35936.40334,6662.58,
Baturité,2302107,baturiteense,HERBERLH FREITAS REIS CAVALCANTE MOTA,314.075,36127,107.98,95.9,0.619,12.89,74220.66741,67628.88549,9114.77,
Beberibe,2302206,beberibense,MICHELE CARIELLO DE SÁ QUEIROZ ROCHA,1596.751,54315,30.37,98.2,0.638,11.4,119759.00352,114373.58263,13744.68,
Bela Cruz,2302305,bela-cruzense,JOSE OTACILIO DE MORAIS NETO,842.106,32851,36.63,98.9,0.623,16.39,54874.52308,54813.93035,7322.64,
Boa Viagem,2302404,boa-viagense,JOSE CARNEIRO DANTAS FILHO,2835.037,54680,18.51,97.6,0.598,17.86,103721.3768,98299.87318,7031.15,
Brejo Santo,2302503,brejo-santense,MARIA GISLAINE SANTANA SAMPAIO LANDIM,654.658,50195,68.12,92.5,0.647,15.04,170601.2427,147722.76868,10248.61,
