UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
CE;23;00101;Abaiara;11.965
CE;23;00150;Acarape;15.140
CE;23;00200;Acaraú;63.556
CE;23;00309;Acopiara;54.687
CE;23;00408;Aiuaba;17.584
CE;23;00507;Alcântaras;11.846
CE;23;00606;Altaneira;7.712
CE;23;00705;Alto Santo;16.077
CE;23;00754;Amontada;44.195
CE;23;00804;Antonina do Norte;7.402
CE;23;00903;Apuiarés;14.742
CE;23;01000;Aquiraz;81.581
CE;23;01109;Aracati;75.392
CE;23;01208;Aracoiaba;26.600
CE;23;01257;Ararendá;10.983
CE;23;01307;Araripe;21.707
CE;23;01406;Aratuba;11.759
CE;23;01505;Arneiroz;7.848
CE;23;01604;Assaré;23.537
CE;23;01703;Aurora;24.567
CE;23;01802;Baixio;6.318
CE;23;01851;Banabuiú;18.313
CE;23;01901;Barbalha;61.662
CE;23;01950;Barreira;22.715
CE;23;02008;Barro;22.834
CE;23;02057;Barroquinha;15.069
CE;23;02107;Baturité;36.127
CE;23;02206;Beberibe;54.315
CE;23;02305;Bela Cruz;32.851
CE;23;02404;Boa Viagem;54.680
CE;23;02503;Brejo Santo;50.195
CE;23;02602;Camocim;64.147
CE;23;02701;Campos Sales;27.513
CE;23;02800;Canindé;77.484
CE;23;02909;Capistrano;17.830
CE;23;03006;Caridade;23.011
CE;23;03105;Cariré;18.470
CE;23;03204;Caririaçu;27.008
CE;23;03303;Cariús;18.700
CE;23;03402;Carnaubal;17.763
CE;23;03501;Cascavel;72.706
CE;23;03600;Catarina;21.041
CE;23;03659;Catunda;10.410
CE;23;03709;Caucaia;368.918
CE;23;03808;Cedro;25.612
CE;23;03907;Chaval;13.112
CE;23;03931;Choró;13.608
CE;23;03956;Chorozinho;20.286
CE;23;04004;Coreaú;23.340
CE;23;04103;Crateús;75.241
CE;23;04202;Crato;133.913
CE;23;04236;Croatá;18.201
CE;23;04251;Cruz;25.121
CE;23;04269;Deputado Irapuan Pinheiro;9.698
CE;23;04277;Ereré;7.254
CE;23;04285;Eusébio;55.035
CE;23;04301;Farias Brito;19.330
CE;23;04350;Forquilha;24.680
CE;23;04400;Fortaleza;2.703.391
CE;23;04459;Fortim;16.776
CE;23;04509;Frecheirinha;14.195
CE;23;04608;General Sampaio;7.767
CE;23;04657;Graça;14.415
CE;23;04707;Granja;55.170
CE;23;04806;Granjeiro;4.784
CE;23;04905;Groaíras;11.219
CE;23;04954;Guaiúba;26.508
