ais,municipio,arma_utilizada,natureza_fato,data,sexo_vitima,idade_vitima,id_base,dummy_contagem
AIS 17,Apuiarés,Arma branca,HOMICIDIO DOLOSO,2017-12-10,FEMININO,20,1,1
AIS 14,São Benedito,Outros meios,HOMICIDIO DOLOSO,2017-12-11,FEMININO,45,1,1
AIS 16,Catunda,Outros meios,HOMICIDIO DOLOSO,2017-12-12,FEMININO,16,1,1
AIS 6,Fortaleza,Outros meios,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,44,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,18,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,19,1,1
AIS 5,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,47,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,23,1,1
AIS 19,Crato,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,24,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,21,1,1
AIS 5,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,29,1,1
AIS 15,Aratuba,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,25,1,1
AIS 5,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,31,1,1
AIS 1,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,28,1,1
AIS 7,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,36,1,1
AIS 17,Itapajé,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,60,1,1
AIS 14,Senador Sá,Arma branca,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,32,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,18,1,1
AIS 10,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,22,1,1
AIS 18,Russas,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,20,1,1
AIS 17,Itapajé,Arma branca,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,17,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,18,1,1
AIS 17,Itapajé,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,14,1,1
AIS 20,Morada Nova,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,31,1,1
AIS 10,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,19,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,26,1,1
AIS 13,Cascavel,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,18,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,20,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,28,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,45,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,19,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,19,1,1
AIS 11,Caucaia,Arma branca,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,33,1,1
AIS 21,Orós,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,49,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,17,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,32,1,1
AIS 19,Nova Olinda,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,43,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,17,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,18,1,1
AIS 13,Aquiraz,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,52,1,1
AIS 20,Quixadá,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,26,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,17,1,1
AIS 4,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,19,1,1
AIS 18,Limoeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,FEMININO,19,1,1
AIS 11,São Gonçalo do Amarante,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,18,1,1
AIS 19,Salitre,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,25,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,20,1,1
AIS 21,Icó,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,27,1,1
AIS 14,Ubajara,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,42,1,1
AIS 19,Caririaçu,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,28,1,1
AIS 10,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,20,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,22,1,1
AIS 5,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,26,1,1
AIS 1,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,31,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,23,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,29,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,27,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,18,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,39,1,1
AIS 13,Aquiraz,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,18,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,29,1,1
AIS 20,Ibicuitinga,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,30,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,24,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,21,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,25,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,21,1,1
AIS 13,Aquiraz,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,17,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,FEMININO,32,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,22,1,1
AIS 12,Maracanaú,Arma branca,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,26,1,1
AIS 18,Nova Jaguaribara,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,17,1,1
AIS 15,Boa Viagem,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,58,1,1
AIS 16,Crateús,Arma branca,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,30,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,40,1,1
AIS 4,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,23,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,22,1,1
AIS 16,Reriutaba,Arma branca,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,34,1,1
AIS 4,Fortaleza,Outros meios,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,43,1,1
AIS 13,Horizonte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,23,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,17,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,19,1,1
AIS 20,Senador Pompeu,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,31,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,31,1,1
AIS 18,Russas,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,27,1,1
AIS 21,Quixelô,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,33,1,1
AIS 12,Maranguape,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,17,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,19,1,1
