MUNICIPIO;NATUREZA DO FATO;ARMA UTILIZADA;SEXO;IDADE;DATA
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2015-12-01
BREJO SANTO;HOMICIDIO DOLOSO;ARMA BRANCA;M;18;2015-12-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2015-12-01
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2015-12-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;13;2015-12-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-12-01
ITAPIUNA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2015-12-01
MARACANAU;HOMICIDIO DOLOSO;OUTROS;M;21;2015-12-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-12-01
CRATEUS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2015-12-01
ALTO SANTO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-12-01
CASCAVEL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-12-01
SAO LUIS DO CURU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2015-12-01
IGUATU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2015-12-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2015-12-02
ICO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2015-12-02
EUSEBIO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-12-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;57;2015-12-02
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2015-12-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;29;2015-12-02
QUIXERAMOBIM;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2015-12-03
MORADA NOVA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2015-12-03
JIJOCA DE JERICOACOARA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;29;2015-12-03
QUIXADA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-12-03
MISSAO VELHA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2015-12-03
CRATEUS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;53;2015-12-03
QUIXADA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;51;2015-12-03
FORTALEZA;HOMICIDIO DOLOSO;ARMA BRANCA;M;41;2015-12-03
IPAUMIRIM;HOMICIDIO DOLOSO;ARMA BRANCA;M;26;2015-12-03
TABULEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2015-12-04
QUITERIANOPOLIS;HOMICIDIO DOLOSO;ARMA BRANCA;F;37;2015-12-04
ASSARE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-12-04
HORIZONTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;36;2015-12-04
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2015-12-04
IGUATU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2015-12-04
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-12-04
ICO;HOMICIDIO DOLOSO;ARMA DE FOGO;I;67;2015-12-04
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-12-04
FORTALEZA;HOMICIDIO DOLOSO;OUTROS;M;44;2015-12-04
HORIZONTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;54;2015-12-04
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2015-12-04
TABULEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2015-12-04
